entrez	p_val	log2_fc
8797	0	2.173490461
8795	0	1.839718581
51330	0	1.557346857
27327	0	-0.529911956
10140	0	1.233694216
7150	0	1.386801016
7168	0	-2.501246702
10346	0	-1.259910029
8848	0	1.287992895
123016	0	-1.87571422
7277	0	1.565182829
6675	0	1.801963195
80328	0	1.056396243
7378	0	3.048201653
57216	0	-1.78586027
7422	0	2.39583989
7422	0	2.118354077
7422	0	2.239301492
7422	0	1.798583519
11091	0	-1.098752709
79413	0	2.088666056
7538	0	2.082063861
7745	0	-1.14872389
--	0	3.54630924
--	0	2.420987062
--	0	1.958346785
--	0	3.233005581
--	0	1.890322555
133993	0	1.95021942
--	0	2.515843375
--	0	2.269615495
--	0	2.194898025
--	0	2.078096398
--	0	1.873460059
--	0	4.290643357
133993	0	1.368994023
--	0	1.719765659
374961	0	1.77117187
--	0	1.43623168
--	0	2.058293288
--	0	1.217245608
--	0	1.358177928
374805	0	4.17919015
--	0	1.928986878
--	0	1.425851884
--	0	1.370040376
--	0	1.27811741
--	0	-2.153202632
--	0	-1.110996919
--	0	-3.621843545
--	0	-1.8341948
--	0	-3.593894407
--	0	-2.368133934
--	0	-3.094716885
--	0	-1.734831984
--	0	-1.215703747
--	0	-1.843805336
--	0	-2.12854743
--	0	-1.608144314
--	0	-2.39841377
377602	0	-3.087230586
--	0	-2.179102984
--	0	-2.405826027
--	0	-2.252954677
--	0	-2.291994685
--	0	-2.740065908
376709	0	-3.100422173
