"uid" "id" "ensembleid" "symbol"
124 "309" "9606.ENSP00000346550" "ANXA6"
125 "316" "9606.ENSP00000363832" "AOX1"
126 "319" "9606.ENSP00000381250" "APOF"
127 "322" "9606.ENSP00000299402" "APBB1"
128 "324" "9606.ENSP00000257430" "APC"
129 "326" "9606.ENSP00000291582" "AIRE"
130 "328" "9606.ENSP00000216714" "APEX1"
131 "329" "9606.ENSP00000227758" "BIRC2"
132 "330" "9606.ENSP00000263464" "BIRC3"
133 "331" "9606.ENSP00000347858" "XIAP"
134 "332" "9606.ENSP00000301633" "BIRC5"
135 "334" "9606.ENSP00000263574" "APLP2"
136 "335" "9606.ENSP00000236850" "APOA1"
137 "336" "9606.ENSP00000356969" "APOA2"
138 "338" "9606.ENSP00000233242" "APOB"
139 "343" "9606.ENSP00000219660" "AQP8"
140 "345" "9606.ENSP00000227667" "APOC3"
141 "347" "9606.ENSP00000345179" "APOD"
142 "348" "9606.ENSP00000252486" "APOE"
143 "351" "9606.ENSP00000284981" "APP"
144 "354" "9606.ENSP00000314151" "KLK3"
145 "356" "9606.ENSP00000356694" "FASLG"
146 "358" "9606.ENSP00000311165" "AQP1"
147 "359" "9606.ENSP00000199280" "AQP2"
148 "360" "9606.ENSP00000297991" "AQP3"
149 "361" "9606.ENSP00000372654" "AQP4"
150 "362" "9606.ENSP00000293599" "AQP5"
151 "364" "9606.ENSP00000297988" "AQP7"
152 "366" "9606.ENSP00000219919" "AQP9"
153 "367" "9606.ENSP00000363822" "AR"
154 "369" "9606.ENSP00000366244" "ARAF"
155 "374" "9606.ENSP00000264487" "AREG"
156 "375" "9606.ENSP00000272102" "ARF1"
157 "377" "9606.ENSP00000256682" "ARF3"
158 "378" "9606.ENSP00000306010" "ARF4"
159 "379" "9606.ENSP00000322628" "ARL4D"
160 "381" "9606.ENSP00000000233" "ARF5"
161 "382" "9606.ENSP00000298316" "ARF6"
162 "383" "9606.ENSP00000357066" "ARG1"
163 "384" "9606.ENSP00000261783" "ARG2"
164 "387" "9606.ENSP00000400175" "RHOA"
165 "388" "9606.ENSP00000272233" "RHOB"
166 "389" "9606.ENSP00000285735" "RHOC"
167 "390" "9606.ENSP00000263895" "RND3"
168 "391" "9606.ENSP00000339467" "RHOG"
169 "392" "9606.ENSP00000310491" "ARHGAP1"
170 "395" "9606.ENSP00000338967" "ARHGAP6"
171 "396" "9606.ENSP00000269321" "ARHGDIA"
172 "397" "9606.ENSP00000228945" "ARHGDIB"
173 "398" "9606.ENSP00000219409" "ARHGDIG"
174 "399" "9606.ENSP00000371219" "RHOH"
175 "400" "9606.ENSP00000261636" "ARL1"
176 "401" "9606.ENSP00000298231" "PHOX2A"
177 "402" "9606.ENSP00000246747" "ARL2"
178 "405" "9606.ENSP00000351407" "ARNT"
179 "407" "9606.ENSP00000311538" "ARR3"
180 "408" "9606.ENSP00000409581" "ARRB1"
181 "409" "9606.ENSP00000269260" "ARRB2"
182 "411" "9606.ENSP00000264914" "ARSB"
183 "412" "9606.ENSP00000217961" "STS"
184 "414" "9606.ENSP00000370546" "ARSD"
185 "415" "9606.ENSP00000370526" "ARSE"
186 "416" "9606.ENSP00000352319" "ARSF"
187 "421" "9606.ENSP00000263207" "ARVCF"
188 "427" "9606.ENSP00000371152" "ASAH1"
189 "429" "9606.ENSP00000266744" "ASCL1"
190 "430" "9606.ENSP00000332293" "ASCL2"
191 "432" "9606.ENSP00000269299" "ASGR1"
192 "434" "9606.ENSP00000364092" "ASIP"
193 "438" "9606.ENSP00000370639" "ASMT"
194 "444" "9606.ENSP00000368767" "ASPH"
195 "445" "9606.ENSP00000253004" "ASS1"
196 "463" "9606.ENSP00000268489" "ZFHX3"
197 "466" "9606.ENSP00000262053" "ATF1"
198 "467" "9606.ENSP00000344352" "ATF3"
199 "468" "9606.ENSP00000336790" "ATF4"
200 "471" "9606.ENSP00000236959" "ATIC"
201 "472" "9606.ENSP00000278616" "ATM"
202 "474" "9606.ENSP00000302216" "ATOH1"
203 "476" "9606.ENSP00000295598" "ATP1A1"
204 "477" "9606.ENSP00000354490" "ATP1A2"
205 "478" "9606.ENSP00000302397" "ATP1A3"
206 "479" "9606.ENSP00000218548" "ATP12A"
207 "480" "9606.ENSP00000357060" "ATP1A4"
208 "481" "9606.ENSP00000356789" "ATP1B1"
209 "482" "9606.ENSP00000250111" "ATP1B2"
210 "483" "9606.ENSP00000286371" "ATP1B3"
211 "486" "9606.ENSP00000292079" "FXYD2"
212 "487" "9606.ENSP00000349595" "ATP2A1"
213 "488" "9606.ENSP00000440045" "ATP2A2"
214 "489" "9606.ENSP00000353072" "ATP2A3"
215 "490" "9606.ENSP00000261173" "ATP2B1"
216 "491" "9606.ENSP00000324172" "ATP2B2"
217 "493" "9606.ENSP00000350310" "ATP2B4"
218 "495" "9606.ENSP00000262623" "ATP4A"
219 "506" "9606.ENSP00000262030" "ATP5B"
220 "522" "9606.ENSP00000389649" "ATP5J"
221 "538" "9606.ENSP00000345728" "ATP7A"
222 "540" "9606.ENSP00000242839" "ATP7B"
223 "545" "9606.ENSP00000343741" "ATR"
224 "551" "9606.ENSP00000369647" "AVP"
225 "552" "9606.ENSP00000299178" "AVPR1A"
226 "554" "9606.ENSP00000338072" "AVPR2"
227 "558" "9606.ENSP00000301178" "AXL"
228 "563" "9606.ENSP00000292401" "AZGP1"
229 "567" "9606.ENSP00000452780" "B2M"
230 "571" "9606.ENSP00000286800" "BACH1"
231 "572" "9606.ENSP00000309103" "BAD"
232 "575" "9606.ENSP00000313046" "ADGRB1"
233 "576" "9606.ENSP00000362762" "ADGRB2"
234 "578" "9606.ENSP00000353878" "BAK1"
235 "579" "9606.ENSP00000371875" "NKX3-2"
236 "580" "9606.ENSP00000260947" "BARD1"
237 "585" "9606.ENSP00000268057" "BBS4"
238 "586" "9606.ENSP00000443459" "BCAT1"
239 "587" "9606.ENSP00000322991" "BCAT2"
240 "593" "9606.ENSP00000269980" "BCKDHA"
241 "595" "9606.ENSP00000227507" "CCND1"
242 "596" "9606.ENSP00000329623" "BCL2"
243 "597" "9606.ENSP00000267953" "BCL2A1"
244 "598" "9606.ENSP00000302564" "BCL2L1"
245 "599" "9606.ENSP00000250405" "BCL2L2"
246 "602" "9606.ENSP00000164227" "BCL3"
247 "604" "9606.ENSP00000232014" "BCL6"
248 "608" "9606.ENSP00000053243" "TNFRSF17"
249 "610" "9606.ENSP00000251287" "HCN2"
250 "613" "9606.ENSP00000303507" "BCR"
251 "622" "9606.ENSP00000350914" "BDH1"
252 "623" "9606.ENSP00000216629" "BDKRB1"
253 "624" "9606.ENSP00000307713" "BDKRB2"
254 "632" "9606.ENSP00000357255" "BGLAP"
255 "633" "9606.ENSP00000327336" "BGN"
256 "634" "9606.ENSP00000161559" "CEACAM1"
257 "635" "9606.ENSP00000274353" "BHMT"
258 "637" "9606.ENSP00000318822" "BID"
259 "638" "9606.ENSP00000216115" "BIK"
260 "639" "9606.ENSP00000358092" "PRDM1"
261 "640" "9606.ENSP00000259089" "BLK"
262 "641" "9606.ENSP00000347232" "BLM"
263 "643" "9606.ENSP00000292174" "CXCR5"
264 "644" "9606.ENSP00000265523" "BLVRA"
265 "646" "9606.ENSP00000307041" "BNC1"
266 "648" "9606.ENSP00000365851" "BMI1"
267 "650" "9606.ENSP00000368104" "BMP2"
268 "651" "9606.ENSP00000282701" "BMP3"
269 "652" "9606.ENSP00000245451" "BMP4"
270 "653" "9606.ENSP00000359866" "BMP5"
271 "654" "9606.ENSP00000283147" "BMP6"
272 "655" "9606.ENSP00000379204" "BMP7"
273 "656" "9606.ENSP00000361915" "BMP8B"
274 "657" "9606.ENSP00000224764" "BMPR1A"
275 "658" "9606.ENSP00000264568" "BMPR1B"
276 "659" "9606.ENSP00000363708" "BMPR2"
277 "660" "9606.ENSP00000308774" "BMX"
278 "661" "9606.ENSP00000303088" "POLR3D"
279 "664" "9606.ENSP00000357625" "BNIP3"
280 "665" "9606.ENSP00000370003" "BNIP3L"
281 "666" "9606.ENSP00000314132" "BOK"
282 "668" "9606.ENSP00000333188" "FOXL2"
283 "672" "9606.ENSP00000418960" "BRCA1"
284 "675" "9606.ENSP00000369497" "BRCA2"
285 "677" "9606.ENSP00000337386" "ZFP36L1"
286 "682" "9606.ENSP00000333769" "BSG"
287 "683" "9606.ENSP00000265016" "BST1"
288 "684" "9606.ENSP00000252593" "BST2"
289 "685" "9606.ENSP00000379092" "BTC"
290 "687" "9606.ENSP00000366330" "KLF9"
291 "688" "9606.ENSP00000366915" "KLF5"
292 "694" "9606.ENSP00000256015" "BTG1"
