entrez	p_val	log2_fc
3371	0	-0.996440937
7128	0	-0.906545292
10612	0	0.734666704
81786	0	0.917847222
7368	0	1.882378156
7368	0	1.260893421
10309	0	1.430258507
7474	0	1.137458275
7474	0	1.215321373
7474	0	0.821651445
9933	0	-0.506059648
7748	0	-0.536789801
7776	0	-2.040170506
10838	0	1.205799113
195828	0	2.228652175
11130	0	0.585007704
--	0	0.531148365
--	0	1.519023005
--	0	1.17397233
--	0	-0.647523941
--	0	1.246405655
--	0	1.070787045
--	0	0.927181944
--	0	1.147572417
--	0	1.24507271
--	0	-1.415256806
375100	0	-0.779085655
--	0	0.901226435
376285	0	1.826760389
344403	0	2.208404262
--	0	1.20339037
--	0	-1.006254637
--	0	-0.764074468
--	0	1.902306708
134111	0	3.057182157
--	0	3.552666024
Hs.97837	0	4.929759758
--	0	1.488053746
--	0	-0.418772177
--	0	-0.358588999
--	0	-0.096566779
--	0	1.663400185
--	0	1.086648592
--	0	-0.764527808
--	0	1.544486375
--	0	2.263095419
