"uid" "id" "ensembleid" "symbol"
124 "268" "9606.ENSP00000221496" "AMH"
125 "269" "9606.ENSP00000257863" "AMHR2"
126 "273" "9606.ENSP00000348602" "AMPH"
127 "274" "9606.ENSP00000316779" "BIN1"
128 "275" "9606.ENSP00000273588" "AMT"
129 "279" "9606.ENSP00000397582" "AMY2A"
130 "283" "9606.ENSP00000336762" "ANG"
131 "284" "9606.ENSP00000428340" "ANGPT1"
132 "285" "9606.ENSP00000314897" "ANGPT2"
133 "286" "9606.ENSP00000265709" "ANK1"
134 "287" "9606.ENSP00000349588" "ANK2"
135 "288" "9606.ENSP00000280772" "ANK3"
136 "290" "9606.ENSP00000300060" "ANPEP"
137 "291" "9606.ENSP00000281456" "SLC25A4"
138 "292" "9606.ENSP00000360671" "SLC25A5"
139 "293" "9606.ENSP00000370808" "SLC25A6"
140 "301" "9606.ENSP00000257497" "ANXA1"
141 "302" "9606.ENSP00000346032" "ANXA2"
142 "307" "9606.ENSP00000377833" "ANXA4"
143 "308" "9606.ENSP00000296511" "ANXA5"
144 "309" "9606.ENSP00000346550" "ANXA6"
145 "316" "9606.ENSP00000363832" "AOX1"
146 "319" "9606.ENSP00000381250" "APOF"
147 "322" "9606.ENSP00000299402" "APBB1"
148 "324" "9606.ENSP00000257430" "APC"
149 "326" "9606.ENSP00000291582" "AIRE"
150 "328" "9606.ENSP00000216714" "APEX1"
151 "329" "9606.ENSP00000227758" "BIRC2"
152 "330" "9606.ENSP00000263464" "BIRC3"
153 "331" "9606.ENSP00000347858" "XIAP"
154 "332" "9606.ENSP00000301633" "BIRC5"
155 "334" "9606.ENSP00000263574" "APLP2"
156 "335" "9606.ENSP00000236850" "APOA1"
157 "336" "9606.ENSP00000356969" "APOA2"
158 "338" "9606.ENSP00000233242" "APOB"
159 "339" "9606.ENSP00000229304" "APOBEC1"
160 "341" "9606.ENSP00000252491" "APOC1"
161 "343" "9606.ENSP00000219660" "AQP8"
162 "345" "9606.ENSP00000227667" "APOC3"
163 "347" "9606.ENSP00000345179" "APOD"
164 "348" "9606.ENSP00000252486" "APOE"
165 "350" "9606.ENSP00000205948" "APOH"
166 "351" "9606.ENSP00000284981" "APP"
167 "353" "9606.ENSP00000367615" "APRT"
168 "354" "9606.ENSP00000314151" "KLK3"
169 "356" "9606.ENSP00000356694" "FASLG"
170 "358" "9606.ENSP00000311165" "AQP1"
171 "359" "9606.ENSP00000199280" "AQP2"
172 "360" "9606.ENSP00000297991" "AQP3"
173 "361" "9606.ENSP00000372654" "AQP4"
174 "362" "9606.ENSP00000293599" "AQP5"
175 "363" "9606.ENSP00000320247" "AQP6"
176 "364" "9606.ENSP00000297988" "AQP7"
177 "366" "9606.ENSP00000219919" "AQP9"
178 "367" "9606.ENSP00000363822" "AR"
179 "368" "9606.ENSP00000205557" "ABCC6"
180 "369" "9606.ENSP00000366244" "ARAF"
181 "373" "9606.ENSP00000231524" "TRIM23"
182 "374" "9606.ENSP00000264487" "AREG"
183 "375" "9606.ENSP00000272102" "ARF1"
184 "377" "9606.ENSP00000256682" "ARF3"
185 "378" "9606.ENSP00000306010" "ARF4"
186 "379" "9606.ENSP00000322628" "ARL4D"
187 "381" "9606.ENSP00000000233" "ARF5"
188 "382" "9606.ENSP00000298316" "ARF6"
189 "383" "9606.ENSP00000357066" "ARG1"
190 "384" "9606.ENSP00000261783" "ARG2"
191 "387" "9606.ENSP00000400175" "RHOA"
192 "388" "9606.ENSP00000272233" "RHOB"
193 "389" "9606.ENSP00000285735" "RHOC"
194 "390" "9606.ENSP00000263895" "RND3"
195 "391" "9606.ENSP00000339467" "RHOG"
196 "392" "9606.ENSP00000310491" "ARHGAP1"
197 "395" "9606.ENSP00000338967" "ARHGAP6"
198 "396" "9606.ENSP00000269321" "ARHGDIA"
199 "397" "9606.ENSP00000228945" "ARHGDIB"
200 "398" "9606.ENSP00000219409" "ARHGDIG"
201 "399" "9606.ENSP00000371219" "RHOH"
202 "400" "9606.ENSP00000261636" "ARL1"
203 "401" "9606.ENSP00000298231" "PHOX2A"
204 "402" "9606.ENSP00000246747" "ARL2"
205 "405" "9606.ENSP00000351407" "ARNT"
206 "407" "9606.ENSP00000311538" "ARR3"
207 "408" "9606.ENSP00000409581" "ARRB1"
208 "409" "9606.ENSP00000269260" "ARRB2"
209 "410" "9606.ENSP00000216124" "ARSA"
210 "411" "9606.ENSP00000264914" "ARSB"
211 "412" "9606.ENSP00000217961" "STS"
212 "414" "9606.ENSP00000370546" "ARSD"
213 "415" "9606.ENSP00000370526" "ARSE"
214 "416" "9606.ENSP00000352319" "ARSF"
215 "421" "9606.ENSP00000263207" "ARVCF"
216 "427" "9606.ENSP00000371152" "ASAH1"
217 "429" "9606.ENSP00000266744" "ASCL1"
218 "430" "9606.ENSP00000332293" "ASCL2"
219 "432" "9606.ENSP00000269299" "ASGR1"
220 "434" "9606.ENSP00000364092" "ASIP"
221 "444" "9606.ENSP00000368767" "ASPH"
222 "445" "9606.ENSP00000253004" "ASS1"
223 "463" "9606.ENSP00000268489" "ZFHX3"
224 "466" "9606.ENSP00000262053" "ATF1"
225 "467" "9606.ENSP00000344352" "ATF3"
226 "468" "9606.ENSP00000336790" "ATF4"
227 "471" "9606.ENSP00000236959" "ATIC"
228 "472" "9606.ENSP00000278616" "ATM"
229 "474" "9606.ENSP00000302216" "ATOH1"
230 "475" "9606.ENSP00000316854" "ATOX1"
231 "476" "9606.ENSP00000295598" "ATP1A1"
232 "477" "9606.ENSP00000354490" "ATP1A2"
233 "478" "9606.ENSP00000302397" "ATP1A3"
234 "479" "9606.ENSP00000218548" "ATP12A"
235 "481" "9606.ENSP00000356789" "ATP1B1"
236 "482" "9606.ENSP00000250111" "ATP1B2"
237 "483" "9606.ENSP00000286371" "ATP1B3"
238 "486" "9606.ENSP00000292079" "FXYD2"
239 "487" "9606.ENSP00000349595" "ATP2A1"
240 "488" "9606.ENSP00000440045" "ATP2A2"
241 "489" "9606.ENSP00000353072" "ATP2A3"
242 "490" "9606.ENSP00000261173" "ATP2B1"
243 "491" "9606.ENSP00000324172" "ATP2B2"
244 "493" "9606.ENSP00000350310" "ATP2B4"
245 "495" "9606.ENSP00000262623" "ATP4A"
246 "501" "9606.ENSP00000387123" "ALDH7A1"
247 "506" "9606.ENSP00000262030" "ATP5B"
248 "522" "9606.ENSP00000389649" "ATP5J"
249 "523" "9606.ENSP00000273398" "ATP6V1A"
250 "525" "9606.ENSP00000234396" "ATP6V1B1"
251 "526" "9606.ENSP00000276390" "ATP6V1B2"
252 "528" "9606.ENSP00000379203" "ATP6V1C1"
253 "529" "9606.ENSP00000253413" "ATP6V1E1"
254 "535" "9606.ENSP00000264649" "ATP6V0A1"
255 "537" "9606.ENSP00000358777" "ATP6AP1"
256 "538" "9606.ENSP00000345728" "ATP7A"
257 "545" "9606.ENSP00000343741" "ATR"
258 "551" "9606.ENSP00000369647" "AVP"
259 "552" "9606.ENSP00000299178" "AVPR1A"
260 "554" "9606.ENSP00000338072" "AVPR2"
261 "558" "9606.ENSP00000301178" "AXL"
262 "563" "9606.ENSP00000292401" "AZGP1"
263 "566" "9606.ENSP00000233997" "AZU1"
264 "567" "9606.ENSP00000452780" "B2M"
265 "571" "9606.ENSP00000286800" "BACH1"
266 "572" "9606.ENSP00000309103" "BAD"
267 "575" "9606.ENSP00000313046" "ADGRB1"
268 "576" "9606.ENSP00000362762" "ADGRB2"
269 "578" "9606.ENSP00000353878" "BAK1"
270 "579" "9606.ENSP00000371875" "NKX3-2"
271 "580" "9606.ENSP00000260947" "BARD1"
272 "582" "9606.ENSP00000317469" "BBS1"
273 "583" "9606.ENSP00000245157" "BBS2"
274 "585" "9606.ENSP00000268057" "BBS4"
275 "586" "9606.ENSP00000443459" "BCAT1"
276 "587" "9606.ENSP00000322991" "BCAT2"
277 "590" "9606.ENSP00000264381" "BCHE"
278 "593" "9606.ENSP00000269980" "BCKDHA"
279 "594" "9606.ENSP00000318351" "BCKDHB"
280 "595" "9606.ENSP00000227507" "CCND1"
281 "596" "9606.ENSP00000329623" "BCL2"
282 "597" "9606.ENSP00000267953" "BCL2A1"
283 "598" "9606.ENSP00000302564" "BCL2L1"
284 "599" "9606.ENSP00000250405" "BCL2L2"
285 "602" "9606.ENSP00000164227" "BCL3"
286 "604" "9606.ENSP00000232014" "BCL6"
287 "608" "9606.ENSP00000053243" "TNFRSF17"
288 "611" "9606.ENSP00000249389" "OPN1SW"
289 "613" "9606.ENSP00000303507" "BCR"
290 "622" "9606.ENSP00000350914" "BDH1"
291 "623" "9606.ENSP00000216629" "BDKRB1"
292 "624" "9606.ENSP00000307713" "BDKRB2"
293 "632" "9606.ENSP00000357255" "BGLAP"
294 "633" "9606.ENSP00000327336" "BGN"
295 "634" "9606.ENSP00000161559" "CEACAM1"
296 "635" "9606.ENSP00000274353" "BHMT"
297 "636" "9606.ENSP00000281474" "BICD1"
298 "637" "9606.ENSP00000318822" "BID"
299 "638" "9606.ENSP00000216115" "BIK"
300 "639" "9606.ENSP00000358092" "PRDM1"
301 "640" "9606.ENSP00000259089" "BLK"
302 "641" "9606.ENSP00000347232" "BLM"
303 "643" "9606.ENSP00000292174" "CXCR5"
304 "644" "9606.ENSP00000265523" "BLVRA"
305 "646" "9606.ENSP00000307041" "BNC1"
306 "648" "9606.ENSP00000365851" "BMI1"
307 "650" "9606.ENSP00000368104" "BMP2"
308 "651" "9606.ENSP00000282701" "BMP3"
309 "652" "9606.ENSP00000245451" "BMP4"
310 "653" "9606.ENSP00000359866" "BMP5"
311 "654" "9606.ENSP00000283147" "BMP6"
312 "655" "9606.ENSP00000379204" "BMP7"
313 "656" "9606.ENSP00000361915" "BMP8B"
314 "657" "9606.ENSP00000224764" "BMPR1A"
315 "658" "9606.ENSP00000264568" "BMPR1B"
316 "659" "9606.ENSP00000363708" "BMPR2"
317 "660" "9606.ENSP00000308774" "BMX"
318 "661" "9606.ENSP00000303088" "POLR3D"
319 "664" "9606.ENSP00000357625" "BNIP3"
320 "665" "9606.ENSP00000370003" "BNIP3L"
321 "666" "9606.ENSP00000314132" "BOK"
322 "668" "9606.ENSP00000333188" "FOXL2"
323 "672" "9606.ENSP00000418960" "BRCA1"
324 "675" "9606.ENSP00000369497" "BRCA2"
325 "677" "9606.ENSP00000337386" "ZFP36L1"
326 "680" "9606.ENSP00000359682" "BRS3"
327 "682" "9606.ENSP00000333769" "BSG"
328 "683" "9606.ENSP00000265016" "BST1"
329 "684" "9606.ENSP00000252593" "BST2"
330 "685" "9606.ENSP00000379092" "BTC"
331 "687" "9606.ENSP00000366330" "KLF9"
332 "688" "9606.ENSP00000366915" "KLF5"
333 "694" "9606.ENSP00000256015" "BTG1"
334 "695" "9606.ENSP00000308176" "BTK"
335 "699" "9606.ENSP00000302530" "BUB1"
336 "706" "9606.ENSP00000328973" "TSPO"
337 "708" "9606.ENSP00000225698" "C1QBP"
338 "710" "9606.ENSP00000278407" "SERPING1"
339 "712" "9606.ENSP00000363773" "C1QA"
340 "713" "9606.ENSP00000313967" "C1QB"
341 "714" "9606.ENSP00000363768" "C1QC"
342 "718" "9606.ENSP00000245907" "C3"
343 "719" "9606.ENSP00000302079" "C3AR1"
344 "722" "9606.ENSP00000356037" "C4BPA"
345 "725" "9606.ENSP00000243611" "C4BPB"
346 "726" "9606.ENSP00000278559" "CAPN5"
347 "727" "9606.ENSP00000223642" "C5"
348 "728" "9606.ENSP00000347197" "C5AR1"
349 "729" "9606.ENSP00000263413" "C6"
350 "730" "9606.ENSP00000322061" "C7"
351 "731" "9606.ENSP00000354458" "C8A"
352 "732" "9606.ENSP00000360281" "C8B"
353 "733" "9606.ENSP00000224181" "C8G"
354 "735" "9606.ENSP00000263408" "C9"
355 "738" "9606.ENSP00000279281" "VPS51"
356 "745" "9606.ENSP00000278836" "MYRF"
357 "759" "9606.ENSP00000256119" "CA1"
358 "760" "9606.ENSP00000285379" "CA2"
359 "761" "9606.ENSP00000285381" "CA3"
360 "762" "9606.ENSP00000300900" "CA4"
361 "766" "9606.ENSP00000345659" "CA7"
362 "768" "9606.ENSP00000367608" "CA9"
363 "773" "9606.ENSP00000353362" "CACNA1A"
364 "774" "9606.ENSP00000360406" "CACNA1B"
365 "775" "9606.ENSP00000266376" "CACNA1C"
366 "776" "9606.ENSP00000288139" "CACNA1D"
367 "778" "9606.ENSP00000365441" "CACNA1F"
368 "779" "9606.ENSP00000355192" "CACNA1S"
369 "781" "9606.ENSP00000349320" "CACNA2D1"
370 "782" "9606.ENSP00000377840" "CACNB1"
371 "783" "9606.ENSP00000320025" "CACNB2"
372 "784" "9606.ENSP00000301050" "CACNB3"
373 "785" "9606.ENSP00000438949" "CACNB4"
374 "786" "9606.ENSP00000226021" "CACNG1"
375 "790" "9606.ENSP00000264705" "CAD"
376 "793" "9606.ENSP00000265431" "CALB1"
377 "794" "9606.ENSP00000307508" "CALB2"
378 "795" "9606.ENSP00000369547" "S100G"
379 "796" "9606.ENSP00000331746" "CALCA"
380 "797" "9606.ENSP00000346017" "CALCB"
381 "799" "9606.ENSP00000352561" "CALCR"
382 "800" "9606.ENSP00000354826" "CALD1"
383 "801" "9606.ENSP00000272298" "CALM1"
384 "805" "9606.ENSP00000349467" "CALM2"
385 "810" "9606.ENSP00000315299" "CALML3"
386 "811" "9606.ENSP00000320866" "CALR"
387 "814" "9606.ENSP00000282356" "CAMK4"
388 "815" "9606.ENSP00000381412" "CAMK2A"
389 "816" "9606.ENSP00000379098" "CAMK2B"
390 "817" "9606.ENSP00000339740" "CAMK2D"
391 "818" "9606.ENSP00000319060" "CAMK2G"
392 "819" "9606.ENSP00000297156" "CAMLG"
393 "820" "9606.ENSP00000458149" "CAMP"
394 "821" "9606.ENSP00000247461" "CANX"
395 "823" "9606.ENSP00000279247" "CAPN1"
396 "824" "9606.ENSP00000295006" "CAPN2"
397 "826" "9606.ENSP00000246533" "CAPNS1"
398 "828" "9606.ENSP00000222125" "CAPS"
399 "831" "9606.ENSP00000379157" "CAST"
400 "834" "9606.ENSP00000410076" "CASP1"
401 "835" "9606.ENSP00000312664" "CASP2"
402 "836" "9606.ENSP00000311032" "CASP3"
403 "837" "9606.ENSP00000388566" "CASP4"
404 "839" "9606.ENSP00000265164" "CASP6"
405 "840" "9606.ENSP00000358327" "CASP7"
406 "842" "9606.ENSP00000330237" "CASP9"
407 "843" "9606.ENSP00000286186" "CASP10"
408 "844" "9606.ENSP00000357057" "CASQ1"
409 "845" "9606.ENSP00000261448" "CASQ2"
410 "846" "9606.ENSP00000420194" "CASR"
411 "847" "9606.ENSP00000241052" "CAT"
412 "857" "9606.ENSP00000339191" "CAV1"
413 "858" "9606.ENSP00000222693" "CAV2"
414 "859" "9606.ENSP00000341940" "CAV3"
415 "860" "9606.ENSP00000360493" "RUNX2"
416 "862" "9606.ENSP00000402257" "RUNX1T1"
417 "864" "9606.ENSP00000343477" "RUNX3"
418 "865" "9606.ENSP00000415151" "CBFB"
419 "866" "9606.ENSP00000342850" "SERPINA6"
420 "867" "9606.ENSP00000264033" "CBL"
421 "868" "9606.ENSP00000264122" "CBLB"
422 "869" "9606.ENSP00000219197" "CBLN1"
423 "871" "9606.ENSP00000350894" "SERPINH1"
424 "875" "9606.ENSP00000344460" "CBS"
425 "885" "9606.ENSP00000335657" "CCK"
426 "886" "9606.ENSP00000295589" "CCKAR"
427 "887" "9606.ENSP00000335544" "CCKBR"
428 "889" "9606.ENSP00000344668" "KRIT1"
429 "890" "9606.ENSP00000274026" "CCNA2"
430 "891" "9606.ENSP00000256442" "CCNB1"
431 "892" "9606.ENSP00000428982" "CCNC"
432 "894" "9606.ENSP00000261254" "CCND2"
433 "896" "9606.ENSP00000362082" "CCND3"
434 "898" "9606.ENSP00000262643" "CCNE1"
435 "899" "9606.ENSP00000380256" "CCNF"
436 "900" "9606.ENSP00000344635" "CCNG1"
437 "901" "9606.ENSP00000315743" "CCNG2"
438 "902" "9606.ENSP00000256897" "CCNH"
439 "904" "9606.ENSP00000261900" "CCNT1"
440 "905" "9606.ENSP00000264157" "CCNT2"
441 "909" "9606.ENSP00000289429" "CD1A"
442 "910" "9606.ENSP00000357150" "CD1B"
443 "911" "9606.ENSP00000357152" "CD1C"
444 "912" "9606.ENSP00000357153" "CD1D"
445 "914" "9606.ENSP00000358490" "CD2"
446 "915" "9606.ENSP00000300692" "CD3D"
447 "916" "9606.ENSP00000354566" "CD3E"
448 "917" "9606.ENSP00000431445" "CD3G"
449 "919" "9606.ENSP00000354782" "CD247"
450 "920" "9606.ENSP00000011653" "CD4"
451 "921" "9606.ENSP00000342681" "CD5"
